timestamp,code|design-debt,requirement-debt,documentation-debt,test-debt
1073648969,1,0,0,0
1074015510,0,0,0,0
1085763124,1,0,0,0
1086894004,3,0,0,0
1087198868,0,0,0,0
1089184690,0,1,0,0
1090813992,8,1,1,0
1091209012,2,0,0,0
1091941873,0,1,0,0
1092076651,3,0,0,0
1092077374,1,0,0,0
1092078151,17,1,0,0
1092333348,-1,0,0,0
1092336075,0,0,0,0
1092351175,0,0,0,0
1092516384,1,0,0,0
1092544324,3,1,0,0
1092776123,1,-1,0,0
1094128459,10,1,0,1
1094859815,1,0,0,0
1094904979,1,0,0,0
1094907012,-1,0,0,0
1095344778,0,0,0,0
1095357961,0,0,0,0
1095458583,3,2,0,0
1095808276,1,0,0,0
1097073035,0,-1,0,0
1097262902,-1,0,0,0
1097535407,1,0,0,0
1098538638,1,0,0,0
1098641634,-1,0,0,0
1102219867,1,0,0,0
1102219945,-4,0,0,0
1102220167,0,0,0,0
1102283136,12,0,0,0
1103845602,-4,-1,0,0
1103909382,-1,0,0,0
1103991985,1,0,0,0
1104124289,-1,0,0,0
1104301251,0,0,0,1
1106081093,1,0,0,0
1107297783,0,3,0,0
1107430767,1,0,0,0
1107858765,1,0,0,0
1108019397,1,3,0,0
1108538193,0,0,0,0
1108623625,0,1,0,0
1108916722,0,-1,0,0
1109036907,2,0,0,0
1109117166,1,0,0,0
1109206180,1,0,0,0
1109223198,0,0,0,0
1109294600,3,0,0,0
1109301289,0,2,0,0
1109301447,0,-1,0,0
1109303297,3,1,0,0
1109482795,5,0,0,1
1109485153,-2,0,0,-1
1109541112,1,0,0,0
1109543641,1,1,0,0
1109548049,1,0,0,0
1109651754,1,0,0,0
1109659393,1,0,0,0
1109660733,14,0,0,0
1109766543,1,0,0,0
1109863986,-1,0,0,0
1109864245,1,0,0,0
1109927066,4,-1,0,0
1110034332,1,0,0,0
1110180169,1,0,0,0
1110180211,-1,0,0,0
1110188515,2,2,0,0
1110222199,-5,0,0,0
1110223298,-2,0,0,0
1110228983,1,0,0,0
1110231974,0,1,0,0
1110236563,3,0,0,0
1110246680,0,1,0,0
1110260092,2,-1,0,1
1110261703,2,-1,0,0
1110261982,2,0,0,0
1110306900,0,2,0,0
1110335950,-1,1,0,0
1110339333,-2,0,-1,0
1110347311,1,0,0,0
1110418525,5,1,0,0
1110447464,-3,0,0,0
1110447889,-1,0,0,0
1110490618,1,0,0,0
1110503208,0,0,0,0
1110664461,-1,0,0,0
1110677878,2,4,0,0
1110757963,1,0,0,0
1110785063,1,0,0,0
1110855058,-6,0,0,0
1110922866,0,1,0,0
1110925914,1,0,0,0
1110937389,1,0,0,0
1110944394,1,-1,0,0
1110954575,-1,-1,0,0
1110958561,2,0,0,0
1111015140,0,1,0,0
1111018646,2,0,0,0
1111025075,2,0,0,0
1111100202,0,0,0,1
1111103947,3,-1,0,0
1111149409,0,3,0,0
1111183329,2,0,0,0
1111191748,1,0,0,0
1111360921,0,0,0,0
1111363659,0,0,0,0
1111376957,5,0,0,0
1111377646,1,0,0,0
1111385202,1,0,0,0
1111389787,2,0,0,0
1111391968,0,3,0,0
1111393114,2,3,0,0
1111463516,0,0,0,1
1111474319,0,2,0,0
1111476689,1,0,0,0
1111488415,4,3,0,0
1111490995,1,0,0,0
1111494570,1,0,0,0
1111494996,1,0,0,0
1111497958,0,2,0,0
1111498248,1,0,0,0
1111498409,0,1,0,0
1111498814,1,0,0,0
1111499057,0,1,0,0
1111540609,-2,0,0,0
1111549213,-1,0,0,0
1111553610,0,0,0,0
1111560775,-1,-1,0,0
1111562603,0,0,0,0
1111563699,0,1,0,0
1111567377,1,0,0,0
1111590219,1,0,0,0
1111590638,0,2,0,0
1111640466,5,6,0,0
1111641521,-2,1,0,0
1111653937,-1,5,0,0
1111660258,1,0,0,0
1111666925,0,0,0,0
1111675945,0,-1,0,0
1111680231,1,0,0,0
1111681009,0,1,0,0
1112074088,1,0,0,0
1112111068,0,0,0,0
1112114473,1,-2,0,-1
1112115990,1,0,0,0
1112145454,-1,-1,0,0
1112153408,2,0,0,0
1112158321,0,0,0,0
1112160290,1,0,0,0
1112160890,1,0,0,0
1112161927,0,1,0,0
1112170944,1,0,0,0
1112197283,1,0,0,0
1112198332,1,0,0,0
1112261563,0,0,0,0
1112268419,4,3,0,0
1112323505,2,2,0,0
1112323990,1,0,0,0
1112328577,-3,0,0,0
1112408239,1,0,0,0
1112578618,1,0,0,0
1112581916,-1,0,0,0
1112586481,-2,1,0,0
1112591325,0,1,0,0
1112592689,0,1,0,0
1112595304,0,1,0,0
1112597241,-1,-1,0,0
1112625306,1,1,0,0
1112689048,1,0,0,0
1112710675,1,0,0,0
1112750909,-1,-1,0,0
1112764260,1,3,0,0
1112768406,9,8,0,0
1112768476,-9,-8,0,0
1112768624,0,0,0,0
1112771180,1,0,0,0
1112841836,1,0,0,0
1112843178,1,0,0,0
1112888566,1,4,0,0
1112910737,1,0,0,0
1112935684,-1,0,0,0
1112954002,3,1,0,0
1113204332,0,1,0,0
1113285490,1,1,0,0
1113340404,5,0,0,0
1113350742,0,1,0,0
1113352075,-1,-2,0,0
1113366565,-1,0,0,0
1113368870,2,0,0,0
1113369109,-2,0,0,0
1113375736,2,0,0,0
1113392049,1,0,0,0
1113449255,2,1,0,0
1113540751,3,1,0,0
1113542940,-1,0,0,0
1113542984,-1,0,0,0
1113543973,1,0,0,0
1113545807,-2,0,0,0
1113797554,4,0,0,0
1113808078,0,1,0,0
1113861055,1,0,0,0
1113930935,1,0,0,0
1113962124,-2,0,0,0
1113970571,-6,-2,0,0
1114015296,3,-5,0,0
1114015476,1,0,0,0
1114015741,-1,0,0,0
1114015923,1,0,0,0
1114015952,0,-1,0,0
1114060225,0,1,0,0
1114078268,-1,-2,0,0
1114080058,2,0,0,0
1114089569,0,2,0,0
1114091097,1,0,0,0
1114100185,-16,-1,0,0
1114103856,1,0,0,0
1114144355,4,0,0,0
1114150585,-1,0,0,0
1114154169,-1,4,0,0
1114156532,0,1,0,0
1114159721,0,1,0,0
1114160507,-1,0,0,0
1114167693,0,0,0,0
1114225927,0,0,0,0
1114226679,0,1,0,0
1114237448,2,0,0,0
1114268521,0,0,0,0
1114507179,0,3,0,0
1114526087,0,1,0,0
1114547421,-1,-1,0,0
1114553896,3,0,0,0
1114557561,3,1,0,0
1114564566,1,0,0,0
1114646606,2,0,0,0
1114729501,-1,0,0,0
1114729571,4,1,0,0
1114733529,0,0,0,0
1114754774,1,0,0,0
1114833047,1,4,0,0
1115025450,1,0,0,0
1115169649,3,-1,0,0
1115170859,-1,0,0,0
1115174319,-1,0,0,0
1115177321,0,-1,0,0
1115180436,-4,0,0,0
1115185975,-1,0,0,0
1115194659,-1,1,0,0
1115228092,-2,-2,0,0
1115252269,2,0,0,0
1115256822,-2,0,0,0
1115274247,0,0,0,0
1115277793,-1,0,0,0
1115336946,0,5,0,0
1115339528,0,-1,0,0
1115339890,0,3,0,0
1115341237,1,0,0,0
1115343855,1,1,0,0
1115362994,3,0,0,0
1115389260,1,1,0,0
1115417398,-1,1,0,0
1115588851,1,0,0,0
1115604788,1,0,0,0
1115612756,1,0,0,0
1115641810,2,1,0,0
1115642524,1,0,0,0
1115678854,2,0,0,0
1115693830,0,4,0,0
1115710773,0,0,0,0
1115785784,2,1,0,0
1115791083,0,1,0,0
1115856414,0,0,0,0
1115877716,0,1,0,0
1115887133,0,1,1,0
1115909530,-4,0,0,0
1115911859,8,9,0,0
1115912451,1,1,0,0
1115913576,1,0,0,0
1115914959,0,0,0,0
1115967717,0,-1,0,0
1115988541,-1,0,0,0
1115990645,1,0,0,0
1116202800,1,0,0,0
1116260871,2,6,0,0
1116274329,1,-1,0,0
1116312819,0,0,0,0
1116341894,1,-1,2,0
1116342701,2,1,0,0
1116688162,0,1,0,0
1116701359,2,0,0,0
1116707367,0,1,0,0
1116707890,-2,0,0,0
1116722035,0,1,0,0
1116816060,-1,0,0,0
1116830592,0,1,0,0
1116836189,1,0,0,0
1116881514,0,-1,0,0
1117087418,0,1,0,0
1117312537,0,-1,0,0
1117396321,1,1,0,0
1117556674,0,0,0,0
1117576135,0,0,0,0
1118013011,-1,0,0,0
1118039817,0,-1,0,0
1118106832,-5,-2,0,0
1118119314,2,0,0,0
1118159485,-1,0,0,0
1118160374,1,0,0,0
1118183804,0,1,0,0
1118195388,1,0,0,0
1118196626,0,1,0,0
1118201263,0,1,0,0
1118210065,1,0,0,0
1118332411,1,-1,0,0
1118365039,-2,0,0,0
1118367801,2,0,0,0
1118674189,1,0,0,0
1118699760,1,0,0,0
1118709779,-1,0,0,0
1118886628,9,2,0,0
1118961537,-3,0,0,0
1118980550,-2,0,0,0
1118990997,2,0,0,0
1118997221,1,0,0,0
1118997879,1,0,0,0
1119072021,-1,0,0,0
1119099686,-1,1,0,0
1119111709,1,2,0,0
1119113564,2,1,0,0
1119238782,-1,0,0,0
1119251852,1,0,0,0
1119278576,1,0,0,0
1119280910,3,0,0,0
1119293633,1,0,0,0
1119298261,1,0,0,0
1119307346,1,0,0,0
1119336589,1,0,0,0
1119356186,1,0,0,0
1119367922,-4,0,0,0
1119374004,-1,3,0,0
1119422786,1,0,0,0
1119426676,0,1,0,0
1119428734,1,1,0,0
1119447585,1,0,0,0
1119450455,1,0,0,0
1119461597,0,0,0,0
1119551599,-2,-1,0,0
1119892974,0,1,0,0
1119942363,1,0,0,0
1120486186,0,0,0,0
1120636911,1,0,0,0
1120706333,0,0,0,0
1120780225,0,0,0,0
1120827168,2,0,0,1
1121091833,-1,0,1,1
1121098413,0,1,0,0
1121119738,0,0,0,0
1121141620,0,0,0,0
1121295508,1,0,0,0
1121314028,1,1,0,0
1121314620,0,0,0,5
1121315286,0,0,0,1
1121470313,1,0,0,1
1121477053,1,0,0,0
1121640968,0,0,0,0
1121735477,1,0,0,0
1121740964,-1,0,0,0
1121749479,1,1,0,0
1121755389,0,0,0,1
1121761381,1,0,0,0
1121814842,1,2,0,0
1121815644,-1,-1,0,0
1121816744,0,-1,0,0
1121818107,0,2,0,0
1121826438,-1,0,0,0
1121828516,0,0,0,9
1121838837,0,1,0,0
1121849551,0,1,0,0
1121852587,0,0,0,0
1121865185,0,1,0,0
1121912427,0,0,0,0
1121928861,-1,0,0,0
1121948315,1,0,0,-1
1121953220,1,0,0,0
1121958954,0,-1,0,0
1121992304,2,0,0,0
1122008867,0,-2,0,0
1122009859,0,-1,0,0
1122036626,1,2,0,0
1122039775,0,-1,0,0
1122039825,1,0,0,0
1122041354,1,0,0,0
1122051069,4,0,0,0
1122070048,-3,-1,0,-1
1122285072,0,1,0,0
1122350137,0,0,0,0
1122368672,1,0,0,0
1122433975,0,0,0,1
1122444860,1,0,0,0
1122451413,2,0,0,0
1122473861,1,0,0,0
1122532547,3,-1,0,0
1122532754,1,0,0,0
1122543152,0,1,0,0
1122553065,1,0,0,0
1122560343,0,0,0,0
1122565511,1,0,0,0
1122608827,1,1,0,0
1122637963,2,0,0,0
1122640676,0,1,0,3
1122679602,0,1,0,0
