date,number_commits
2012-10-23T19:08:07Z,1
2012-10-24T07:39:51Z,1
2012-10-24T08:51:32Z,1
2012-10-24T09:09:43Z,1
2012-10-24T16:08:47Z,1
2012-10-24T16:46:32Z,1
2012-10-24T16:54:05Z,1
2012-10-24T16:54:24Z,1
2012-10-24T19:40:22Z,1
2012-10-24T21:34:24Z,1
2012-10-24T21:57:17Z,1
2012-10-24T21:57:44Z,1
2012-10-24T21:58:43Z,1
2012-10-24T22:47:55Z,1
2012-10-25T00:06:39Z,1
2012-10-25T00:07:53Z,1
2012-10-25T00:30:04Z,1
2012-10-26T17:20:56Z,1
2012-10-26T17:46:30Z,1
2012-10-29T16:07:04Z,1
2012-10-29T16:08:34Z,1
2012-10-29T21:34:17Z,1
2012-10-29T23:04:13Z,1
2012-10-30T15:59:07Z,1
2012-10-30T17:08:30Z,1
2012-10-31T05:21:55Z,1
2012-10-31T05:22:46Z,1
2012-10-31T06:26:21Z,1
2012-10-31T06:59:31Z,1
2012-10-31T07:00:30Z,1
2012-10-31T17:28:24Z,1
2012-10-31T17:29:03Z,1
2012-10-31T19:58:16Z,1
2012-10-31T21:35:09Z,1
2012-10-31T21:45:44Z,1
2012-10-31T23:10:07Z,1
2012-10-31T23:43:47Z,1
2012-11-01T23:14:17Z,1
2012-11-01T23:20:38Z,1
2012-11-01T23:38:26Z,1
2012-11-01T23:39:28Z,1
2012-11-01T23:41:13Z,1
2012-11-02T16:35:23Z,1
2012-11-02T19:17:50Z,1
2012-11-02T19:24:09Z,1
2012-11-02T19:24:43Z,1
2012-11-02T22:56:18Z,1
2012-11-02T22:57:16Z,1
2012-11-02T22:59:55Z,1
2012-11-02T23:59:49Z,1
2012-11-05T19:18:11Z,1
2012-11-05T19:19:55Z,1
2012-11-05T19:38:03Z,1
2012-11-05T21:39:16Z,1
2012-11-05T22:33:15Z,1
2012-11-06T00:13:20Z,1
2012-11-06T00:13:50Z,1
2012-11-06T02:19:04Z,1
2012-11-06T02:31:23Z,1
2012-11-06T02:40:54Z,1
2012-11-06T08:16:27Z,1
2012-11-06T19:49:17Z,1
2012-11-06T19:56:48Z,1
2012-11-06T20:36:55Z,1
2012-11-06T20:40:53Z,1
2012-11-06T22:26:53Z,1
2012-11-06T23:30:46Z,1
2012-11-07T00:55:35Z,1
2012-11-07T04:15:57Z,1
2012-11-07T04:20:34Z,1
2012-11-08T01:27:23Z,1
2012-11-08T01:27:42Z,1
2012-11-08T17:30:32Z,1
2012-11-08T17:31:22Z,1
2012-11-08T18:08:40Z,1
2012-11-08T18:11:33Z,1
2012-11-08T18:32:18Z,1
2012-11-08T18:37:05Z,1
2012-11-08T18:43:39Z,1
2012-11-08T18:45:21Z,1
2012-11-08T18:51:13Z,1
2012-11-08T18:51:41Z,1
2012-11-08T21:42:14Z,1
2012-11-08T21:42:58Z,1
2012-11-08T21:46:30Z,1
2012-11-08T21:49:02Z,1
2012-11-08T22:43:02Z,1
2012-11-08T23:09:00Z,1
2012-11-09T00:39:07Z,1
2012-11-09T01:06:02Z,1
2012-11-09T17:32:57Z,1
2012-11-09T17:33:06Z,1
2012-11-09T18:10:26Z,1
