date,number_commits
2011-10-20T15:04:29Z,1
2011-10-20T15:06:57Z,1
2011-10-20T15:31:57Z,1
2011-10-20T15:39:42Z,1
2011-10-20T15:45:11Z,1
2011-10-20T18:26:53Z,1
2011-10-20T18:32:41Z,1
2011-10-20T19:04:50Z,1
2011-10-20T19:20:27Z,1
2011-10-20T19:41:12Z,1
2011-10-20T19:51:52Z,1
2011-10-21T05:24:53Z,1
2011-10-21T05:45:27Z,1
2011-10-21T06:08:25Z,1
2011-10-21T06:09:50Z,1
2011-10-21T06:15:33Z,1
2011-10-21T07:41:44Z,1
2011-10-24T08:37:46Z,1
2011-10-24T09:34:27Z,1
2011-10-24T12:21:18Z,1
2011-10-25T05:23:56Z,1
2011-10-25T06:34:28Z,1
2011-10-25T08:09:32Z,1
2011-10-25T09:18:22Z,1
2011-10-25T09:40:33Z,1
2011-10-25T11:55:55Z,1
2011-10-25T11:58:46Z,1
2011-10-26T01:41:28Z,1
2011-10-26T01:45:38Z,1
2011-10-26T02:18:06Z,1
2011-10-26T02:24:03Z,1
2011-10-26T02:25:54Z,1
2011-10-26T02:49:32Z,1
2011-10-26T02:49:44Z,1
2011-10-26T02:52:06Z,1
2011-10-26T03:04:29Z,1
2011-10-26T03:22:56Z,1
2011-10-26T03:23:00Z,1
2011-10-26T03:23:07Z,1
2011-10-26T03:25:29Z,1
2011-10-26T03:38:47Z,1
2011-10-26T04:00:13Z,1
2011-10-26T04:04:20Z,1
2011-10-26T04:47:37Z,1
2011-10-26T05:12:22Z,1
2011-10-26T05:12:54Z,1
2011-10-26T05:13:18Z,1
2011-10-26T05:17:00Z,1
2011-10-26T05:54:41Z,1
2011-10-26T06:46:26Z,1
2011-10-26T06:48:11Z,1
2011-10-26T06:49:51Z,1
2011-10-26T06:53:37Z,1
2011-10-26T07:48:53Z,1
2011-10-26T08:20:11Z,1
2011-10-26T08:40:20Z,1
2011-10-26T09:04:16Z,1
2011-10-26T09:07:44Z,1
2011-10-26T09:17:18Z,1
2011-10-27T02:00:24Z,1
2011-10-27T02:47:07Z,1
2011-10-27T02:47:25Z,1
2011-10-27T10:50:36Z,1
2011-10-27T11:23:20Z,1
2011-10-27T11:26:27Z,1
2011-10-27T11:30:31Z,1
2011-10-27T12:21:10Z,1
2011-10-27T12:31:14Z,1
2011-10-27T12:39:33Z,1
2011-10-27T12:45:59Z,1
2011-10-28T02:06:42Z,1
2011-10-28T02:36:36Z,1
2011-10-28T03:45:08Z,1
2011-10-28T03:45:35Z,1
2011-10-28T03:45:52Z,1
2011-10-28T05:24:20Z,1
2011-10-28T05:38:07Z,1
2011-10-28T06:28:56Z,1
2011-10-28T06:42:42Z,1
2011-10-28T06:47:51Z,1
2011-10-28T06:56:14Z,1
2011-10-28T07:02:40Z,1
2011-10-28T07:17:51Z,1
2011-10-28T07:19:43Z,1
2011-10-28T07:23:23Z,1
2011-10-28T07:25:16Z,1
2011-10-28T07:32:53Z,1
2011-10-28T07:33:01Z,1
2011-10-28T07:47:28Z,1
2011-10-28T07:52:52Z,1
2011-10-28T08:06:06Z,1
2011-10-28T08:06:20Z,1
2011-10-28T08:10:55Z,1
2011-10-28T08:11:15Z,1
2011-10-28T08:11:45Z,1
2011-10-28T08:18:00Z,1
2011-10-28T08:21:36Z,1
2011-10-28T08:23:21Z,1
2011-10-28T08:34:29Z,1
2011-10-28T08:38:40Z,1
2011-10-28T08:45:29Z,1
2011-10-28T08:46:20Z,1
2011-10-28T08:48:19Z,1
2011-10-28T09:05:03Z,1
2011-10-28T09:52:49Z,1
2011-10-28T09:53:51Z,1
2011-10-28T11:02:24Z,1
2011-10-28T14:56:14Z,1
2011-10-28T15:10:11Z,1
2011-10-30T14:41:20Z,1
2011-10-30T14:54:14Z,1
2011-10-30T14:58:02Z,1
2011-10-30T15:03:24Z,1
2011-10-31T02:54:35Z,1
2011-10-31T03:38:09Z,1
