INSERT,1704703920,47fc18faf941d230a42c34335173a32bb9964875,"/**
     * OS family that can be tested for. {@value}
     */",code_comment,test-debt
DELETE,1703012935,a3819706093b69a8cf07c8a01ceaddfb6bb1c0b7,// TODO: add access to the version information,code_comment,requirement-debt
DELETE,1703012935,a3819706093b69a8cf07c8a01ceaddfb6bb1c0b7,// TODO: v4: add access to the version information,code_comment,requirement-debt
DELETE,1702900826,8001c30b6949b16857f15bc8e30914ae5108c61c,// TODO: v4: refactor with RepositorySystem#flattenDependencyNodes with resolver alpha-3,code_comment,code|design-debt
DELETE,1702551076,a1fe9fc3875e6e487becf1afdf4ed22a7ca23a88,// Language is unused,code_comment,code|design-debt
INSERT,1704891354,cfa13f5cc71ac0c2591650cae81772d572dcdd26,"/**
     * Default ctor is used in IT and most probably some 3rd party code. For those cases, we do provide sane defaults
     * but given this is a component, injection should be used, replacing direct instantiation.
     *
     * @deprecated Do not use this ctor directly, inject this component instead.
     */",code_comment,code|design-debt
DELETE,1701871715,2411c81a9bdf9fd6ee6ea99c50426803354bbaf5,// HACK: Resolver 2.0.0-alpha-2 carries a bad change:,code_comment,code|design-debt
DELETE,1701871715,2411c81a9bdf9fd6ee6ea99c50426803354bbaf5,// TODO: remove this hack below once Resolver PR above is applied,code_comment,code|design-debt
INSERT,1701871715,2411c81a9bdf9fd6ee6ea99c50426803354bbaf5,// Note: we do NOT use WagonTransportConfigurationKeys here as Maven Core does NOT depend on Wagon Transport,code_comment,code|design-debt
DELETE,1701126694,05fcf5b2d3b529385563619d0693eb4a2b7847d0,// TODO: WARNING! Later versions of plexus-utils psit out an <?xml ?> header due to thinking this is a new,code_comment,code|design-debt
INSERT,1701112694,eee037e6763445e7901b84fce4e992ddec17df0d,// TODO: watch o,code_comment,requirement-debt
DELETE,1704891354,cfa13f5cc71ac0c2591650cae81772d572dcdd26,// TODO not used? Then remove,code_comment,code|design-debt
DELETE,1701191830,69bc993b8089a2d3d1ddfd6c7d4f8dc6cc205995,// This is a bit of a hack,code_comment,code|design-debt
DELETE,1701126694,05fcf5b2d3b529385563619d0693eb4a2b7847d0,// TODO: move ,code_comment,code|design-debt
INSERT,1700564641,e89b6fd53f320f31a0f2b3ce4e3ae1837cd4e081,"/**
     * Nobody should ever use this method.
     *
     * @deprecated If you use this method and your code is not in Maven Core, stop doing this.
     */",code_comment,code|design-debt
DELETE,1704710229,782e8679bf487bcd6ad6ef36d1d1e92b00d418a4,"/**
 * Colored message utils, to manage colors.  This is the core implementation of the
 * {@link JansiMessageBuilderFactory} and {@link JansiMessageBuilder} classes.
 * This class should not be used outside of maven-embedder and the public
 * {@link org.apache.maven.api.services.MessageBuilderFactory} should be used instead.
 * <p>
 * Internally, <a href=http://fusesource.github.io/jansi/"">Jansi</a> is used to render",code_comment,code|design-debt
INSERT,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: v4: remove import scope somehow,code_comment,code|design-debt
DELETE,1699573674,94749041b421f8e415174deb05e99563d65c25ee,// TODO Move me to Maven Shared Utils,code_comment,code|design-debt
INSERT,1699369600,e6d1b4c5defb6f0855316b6b96e11111555ea1db,"/**
     * This name for Apache HttpClient transport is deprecated.
     *
     * @deprecated Renamed to {@link #MAVEN_RESOLVER_TRANSPORT_APACHE}
     */",code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
 * A listener for session events.
 * TODO: open this to other events like similar to {@code org.apache.maven.eventspy.EventSpy}
 *
 * @since 4.0.0
 */",code_comment,code|design-debt
INSERT,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: v4: refactor with RepositorySystem#flattenDependencyNodes with resolver alpha-3,code_comment,code|design-debt
INSERT,1699345252,53ff1690de5f453cb7a5f3a004c46eba06ec875c,"/**
     * Merges values from the specified profile into the given model. Implementations are expected to keep the profile
     * and model completely decoupled by injecting deep copies rather than the original objects from the profile.
     *
     * @param model The model into which to merge the values defined by the profile, must not be <code>null</code>.
     * @param profile The (read-only) profile whose values should be injected, may be <code>null</code>.
     * @param request The model building request that holds further settings, must not be {@code null}.
     * @param problems The container used to collect problems that were encountered, must not be {@code null}.
     */",code_comment,code|design-debt
INSERT,1699345252,53ff1690de5f453cb7a5f3a004c46eba06ec875c,"/**
     * Determines the profiles which are active in the specified activation context. Active profiles will eventually be
     * injected into the model.
     *
     * @param profiles The profiles whose activation status should be determined, must not be {@code null}.
     * @param context The environmental context used to determine the activation status of a profile, must not be
     *            {@code null}.
     * @param problems The container used to collect problems that were encountered, must not be {@code null}.
     * @return The profiles that have been activated, never {@code null}.
     */",code_comment,code|design-debt
INSERT,1701112694,eee037e6763445e7901b84fce4e992ddec17df0d,// Packaging/Directory is Maven1 remnant!!!,code_comment,code|design-debt
INSERT,1701112694,eee037e6763445e7901b84fce4e992ddec17df0d,// Language is unused,code_comment,code|design-debt
INSERT,1700564641,e89b6fd53f320f31a0f2b3ce4e3ae1837cd4e081,// HACK: Resolver 2.0.0-alpha-2 carries a bad change:,code_comment,code|design-debt
INSERT,1700564641,e89b6fd53f320f31a0f2b3ce4e3ae1837cd4e081,// TODO: remove this hack below once Resolver PR above is applied,code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
 * A dependency's {@code Type} is uniquely identified by a {@code String},
 * and semantically represents a known <i>kind</i> of dependency.
 * <p>
 * It provides information about the file type (or extension) of the associated artifact,
 * its default classifier, and how the artifact will be used in the build when creating
 * classpaths.
 * <p>
 * For example, the type {@code java-source} has a {@code jar} extension and a
 * {@code sources} classifier. The artifact and its dependencies should be added
 * to the classpath.
 *
 * @since 4.0.0
 */",code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,// TODO: add access to the version information,code_comment,requirement-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/*
             *  Short circuit if all methods were upcast
             */",code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit for the (hopefully) majority of cases where the,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// No luck - the class is not public,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit if all methods were upcast,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// This is redundant as currently java.lang.Object does not implement,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit if all methods were upcast,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit for (hopefully the majority of) cases where the declaring,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/**
     * Find a method.  Attempts to find the
     * most specific applicable method using the
     * algorithm described in the JLS section
     * 15.12.2 (with the exception that it can't
     * distinguish a primitive type argument from
     * an object type argument, since in reflection
     * primitive type arguments are represented by
     * their object counterparts, so for an argument of
     * type (say) java.lang.Integer, it will not be able
     * to decide between a method that takes int and a
     * method that takes java.lang.Integer as a parameter.
     * <p>
     * This turns out to be a relatively rare case
     * where this is needed - however, functionality
     * like this is needed.
     *
     * @param methodName name of method
     * @param args       the actual arguments with which the method is called
     * @return the most specific applicable method, or null if no
     *         method is applicable.
     * @throws AmbiguousException if there is more than one maximally
     *                            specific applicable method
     */",code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/**
     * Determines whether a type represented by a class object is
     * convertible to another type represented by a class object using a
     * method invocation conversion, without matching object and primitive
     * types. This method is used to determine the more specific type when
     * comparing signatures of methods.
     *
     * @param formal the formal parameter type to which the actual
     *               parameter type should be convertible
     * @param actual the actual parameter type.
     * @return true if either formal type is assignable from actual type,
     *         or formal and actual are both primitive types and actual can be
     *         subject to widening conversion to formal.
     */",code_comment,code|design-debt
DELETE,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: apiv4,code_comment,requirement-debt
DELETE,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: apiv4,code_comment,requirement-debt
DELETE,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: ap,code_comment,requirement-debt
DELETE,1702024964,bd849b54ad5ba1927eb84676c15e7c368ef524d3,// TODO: v4,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// This method is less specific than some of the,code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,// TODO: v4: add access to the version information,code_comment,requirement-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// we shouldn't get a null into,code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
     * Name of the Maven user property to enable or disable the build/consumer POM feature.
     *
     * TODO: v4: remove experimental bit
     */",code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
 * This interface supplies the API for providing feedback to the user from the <code>Mojo</code>, using standard
 * <code>Maven</code> channels.<br>
 * There should be no big surprises here, although you may notice that the methods accept
 * <code>java.lang.CharSequence</code> rather than <code>java.lang.String</code>. This is provided mainly as a
 * convenience, to enable developers to pass things like <code>java.lang.StringBuffer</code> directly into the logger,
 * rather than formatting first by calling <code>toString()</code>.
 *
 * @since 4.0.0
 */",code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// perhaps this is a boolean property??,code_comment,code|design-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// TODO assert exception message,code_comment,requirement-debt
DELETE,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// TODO assert exception message,code_comment,requirement-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/*
             *  Short circuit if all methods were upcast
             */",code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit for the (hopefully) majority of cases where the,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// No luck - the class is not public,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit if all methods were upcast,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// This is redundant as currently java.lang.Object does not implement,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit if all methods were upcast,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// Short circuit for (hopefully the majority of) cases where the declaring,code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
     * does this Mojo need to be online to be executed?
     * @return need to be online
     */",code_comment,code|design-debt
INSERT,1701847337,56964d50d67708794f6b0ac123314ef52c0a9534,"/**
     * TODO: v4: add a SPI for the configurator
     * configurator bean name.
     * @return the configurator bean name
     */",code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/**
     * Find a method.  Attempts to find the
     * most specific applicable method using the
     * algorithm described in the JLS section
     * 15.12.2 (with the exception that it can't
     * distinguish a primitive type argument from
     * an object type argument, since in reflection
     * primitive type arguments are represented by
     * their object counterparts, so for an argument of
     * type (say) java.lang.Integer, it will not be able
     * to decide between a method that takes int and a
     * method that takes java.lang.Integer as a parameter.
     * <p>
     * This turns out to be a relatively rare case
     * where this is needed - however, functionality
     * like this is needed.
     *
     * @param methodName name of method
     * @param args       the actual arguments with which the method is called
     * @return the most specific applicable method, or null if no
     *         method is applicable.
     * @throws AmbiguousException if there is more than one maximally
     *                            specific applicable method
     */",code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,"/**
     * Determines whether a type represented by a class object is
     * convertible to another type represented by a class object using a
     * method invocation conversion, without matching object and primitive
     * types. This method is used to determine the more specific type when
     * comparing signatures of methods.
     *
     * @param formal the formal parameter type to which the actual
     *               parameter type should be convertible
     * @param actual the actual parameter type.
     * @return true if either formal type is assignable from actual type,
     *         or formal and actual are both primitive types and actual can be
     *         subject to widening conversion to formal.
     */",code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// This method is less specific than some of the,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// we shouldn't get a null into,code_comment,code|design-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// TODO assert exception message,code_comment,requirement-debt
INSERT,1697565308,92a82dcefdb26f6641a06aaeaefa771820ac6033,// TODO assert exception message,code_comment,requirement-debt
