timestamp,project,commits_per_14days
2012-10-23,druid,55
2012-11-06,druid,66
2012-11-20,druid,41
2012-12-04,druid,86
2012-12-18,druid,22
2013-01-01,druid,37
2013-01-15,druid,73
2013-01-29,druid,87
2013-02-12,druid,70
2013-02-26,druid,129
2013-03-12,druid,98
2013-03-26,druid,48
2013-04-09,druid,81
2013-04-23,druid,103
2013-05-07,druid,110
2013-05-21,druid,48
2013-06-04,druid,51
2013-06-18,druid,49
2013-07-02,druid,76
2013-07-16,druid,122
2013-07-30,druid,135
2013-08-13,druid,118
2013-08-27,druid,51
2013-09-10,druid,63
2013-09-24,druid,54
2013-10-08,druid,42
2013-10-22,druid,56
2013-11-05,druid,127
2013-11-19,druid,69
2013-12-03,druid,165
2013-12-17,druid,90
2013-12-31,druid,60
2014-01-14,druid,79
2014-01-28,druid,83
2014-02-11,druid,67
2014-02-25,druid,101
2014-03-11,druid,99
2014-03-25,druid,154
2014-04-08,druid,133
2014-04-22,druid,122
2014-05-06,druid,70
2014-05-20,druid,81
2014-06-03,druid,142
2014-06-17,druid,74
2014-07-01,druid,35
2014-07-15,druid,74
2014-07-29,druid,152
2014-08-12,druid,91
2014-08-26,druid,69
2014-09-09,druid,77
2014-09-23,druid,89
2014-10-07,druid,63
2014-10-21,druid,96
2014-11-04,druid,193
2014-11-18,druid,140
2014-12-02,druid,144
2014-12-16,druid,62
2014-12-30,druid,32
2015-01-13,druid,65
2015-01-27,druid,61
2015-02-10,druid,69
2015-02-24,druid,66
2015-03-10,druid,90
2015-03-24,druid,40
2015-04-07,druid,62
2015-04-21,druid,69
2015-05-05,druid,40
2015-05-19,druid,59
2015-06-02,druid,49
2015-06-16,druid,54
2015-06-30,druid,51
2015-07-14,druid,85
2015-07-28,druid,62
2015-08-11,druid,78
2015-08-25,druid,99
2015-09-08,druid,70
2015-09-22,druid,66
2015-10-06,druid,43
2015-10-20,druid,80
2015-11-03,druid,89
2015-11-17,druid,47
2015-12-01,druid,126
2015-12-15,druid,107
2015-12-29,druid,124
2016-01-12,druid,126
2016-01-26,druid,111
2016-02-09,druid,120
2016-02-23,druid,105
2016-03-08,druid,126
2016-03-22,druid,124
2016-04-05,druid,51
2016-04-19,druid,34
2016-05-03,druid,39
2016-05-17,druid,24
2016-05-31,druid,72
2016-06-14,druid,38
2016-06-28,druid,27
2016-07-12,druid,23
2016-07-26,druid,31
2016-08-09,druid,24
2016-08-23,druid,16
2016-09-06,druid,25
2016-09-20,druid,24
2016-10-04,druid,34
2016-10-18,druid,22
2016-11-01,druid,42
2016-11-15,druid,14
2016-11-29,druid,40
2016-12-13,druid,24
2016-12-27,druid,16
2017-01-10,druid,20
2017-01-24,druid,18
2017-02-07,druid,30
2017-02-21,druid,54
2017-03-07,druid,29
2017-03-21,druid,30
2017-04-04,druid,13
2017-04-18,druid,29
2017-05-02,druid,18
2017-05-16,druid,40
2017-05-30,druid,41
2017-06-13,druid,31
2017-06-27,druid,30
2017-07-11,druid,40
2017-07-25,druid,30
2017-08-08,druid,32
2017-08-22,druid,29
2017-09-05,druid,44
2017-09-19,druid,40
2017-10-03,druid,58
2017-10-17,druid,28
2017-10-31,druid,37
2017-11-14,druid,29
2017-11-28,druid,13
2017-12-12,druid,21
2017-12-26,druid,21
2018-01-09,druid,25
2018-01-23,druid,28
2018-02-06,druid,47
2018-02-20,druid,25
2018-03-06,druid,28
2018-03-20,druid,19
2018-04-03,druid,57
2018-04-17,druid,32
2018-05-01,druid,31
2018-05-15,druid,12
2018-05-29,druid,20
2018-06-12,druid,21
2018-06-26,druid,52
2018-07-10,druid,17
2018-07-24,druid,41
2018-08-07,druid,45
2018-08-21,druid,48
2018-09-04,druid,27
2018-09-18,druid,50
2018-10-02,druid,40
2018-10-16,druid,36
2018-10-30,druid,20
2018-11-13,druid,46
2018-11-27,druid,34
2018-12-11,druid,29
2018-12-25,druid,14
2019-01-08,druid,29
2019-01-22,druid,43
2019-02-05,druid,40
2019-02-19,druid,54
2019-03-05,druid,70
2019-03-19,druid,50
2019-04-02,druid,58
2019-04-16,druid,73
2019-04-30,druid,51
2019-05-14,druid,92
2019-05-28,druid,52
2019-06-11,druid,42
2019-06-25,druid,54
2019-07-09,druid,35
2019-07-23,druid,84
2019-08-06,druid,48
2019-08-20,druid,81
2019-09-03,druid,70
2019-09-17,druid,42
2019-10-01,druid,24
2019-10-15,druid,47
2019-10-29,druid,36
2019-11-12,druid,42
2019-11-26,druid,50
2019-12-10,druid,65
