id,created_at,closed_at
1706665855,2024-02-01T16:49:18Z,
1705653566,2024-02-01T08:23:42Z,2024-02-01T10:20:33Z
1700253683,2024-01-29T15:54:57Z,
1700008101,2024-01-29T13:47:23Z,2024-01-29T15:27:43Z
1695649597,2024-01-25T13:53:58Z,
1695359550,2024-01-25T11:01:26Z,2024-01-25T13:58:24Z
1693527787,2024-01-24T11:34:05Z,
1692151014,2024-01-23T16:47:14Z,2024-01-29T15:51:24Z
1691083810,2024-01-23T06:20:59Z,2024-01-30T23:39:20Z
1688782661,2024-01-21T19:35:04Z,
1687101764,2024-01-19T15:19:27Z,2024-01-23T12:06:56Z
1686363315,2024-01-19T08:37:39Z,2024-01-22T17:27:48Z
1684519531,2024-01-18T09:54:26Z,2024-01-18T11:51:16Z
1683666017,2024-01-17T20:55:47Z,2024-01-19T11:00:29Z
1683147248,2024-01-17T15:03:19Z,2024-01-17T15:34:23Z
1680890307,2024-01-16T12:35:37Z,
1679121910,2024-01-15T11:55:48Z,
1677807903,2024-01-13T15:45:58Z,2024-01-15T16:49:26Z
1677789607,2024-01-13T14:48:09Z,2024-01-14T20:21:20Z
1677765932,2024-01-13T13:29:16Z,
1677309812,2024-01-12T21:48:58Z,2024-01-13T13:02:41Z
1676848560,2024-01-12T16:47:11Z,2024-01-15T12:14:56Z
1676624208,2024-01-12T14:51:43Z,
1674240983,2024-01-11T11:40:04Z,2024-01-11T15:12:49Z
1674137739,2024-01-11T10:39:02Z,2024-01-11T12:16:51Z
1673103999,2024-01-10T20:10:43Z,2024-01-18T11:04:57Z
1672961613,2024-01-10T18:42:00Z,2024-01-11T17:35:13Z
1672835198,2024-01-10T17:13:58Z,2024-02-01T16:25:04Z
1672107546,2024-01-10T10:00:52Z,2024-01-10T12:53:43Z
1671733641,2024-01-10T05:03:07Z,2024-01-11T12:35:02Z
1671220464,2024-01-09T19:18:53Z,2024-01-10T12:55:54Z
1671022380,2024-01-09T17:04:26Z,2024-01-09T20:57:17Z
1670500491,2024-01-09T11:47:25Z,
1670126354,2024-01-09T07:34:44Z,2024-01-09T13:04:57Z
1669400784,2024-01-08T18:07:27Z,2024-01-09T06:39:48Z
1667500722,2024-01-06T20:44:37Z,2024-01-06T22:33:30Z
1662157126,2024-01-02T18:30:40Z,2024-01-06T21:07:36Z
1660693464,2023-12-31T16:50:05Z,2024-01-08T08:52:00Z
1652381284,2023-12-20T16:22:30Z,2023-12-21T08:05:10Z
1652193544,2023-12-20T14:42:54Z,2024-01-09T06:36:59Z
1651930704,2023-12-20T11:48:10Z,2024-01-11T16:55:21Z
1651857791,2023-12-20T10:54:19Z,2023-12-21T05:31:27Z
1650610029,2023-12-19T15:44:43Z,2023-12-19T19:08:55Z
1650298265,2023-12-19T12:37:27Z,2023-12-20T13:03:57Z
1650143566,2023-12-19T10:52:32Z,2024-01-11T17:47:28Z
