timestamp,project,releases_per_60days
2012-11-09,druid,26
2013-01-08,druid,27
2013-03-09,druid,28
2013-05-08,druid,39
2013-07-07,druid,46
2013-09-05,druid,6
2013-11-04,druid,45
2014-01-03,druid,20
2014-03-04,druid,44
2014-05-03,druid,23
2014-07-02,druid,23
2014-08-31,druid,10
2014-10-30,druid,10
2014-12-29,druid,7
2015-02-27,druid,5
2015-04-28,druid,3
2015-06-27,druid,4
2015-08-26,druid,3
2015-10-25,druid,4
2015-12-24,druid,5
2016-02-22,druid,3
2016-04-22,druid,4
2016-06-21,druid,2
2016-08-20,druid,1
2016-10-19,druid,3
2016-12-18,druid,0
2017-02-16,druid,2
2017-04-17,druid,1
2017-06-16,druid,3
2017-08-15,druid,1
2017-10-14,druid,3
2017-12-13,druid,1
2018-02-11,druid,3
2018-04-12,druid,3
2018-06-11,druid,1
2018-08-10,druid,3
2018-10-09,druid,5
2018-12-08,druid,0
2019-02-06,druid,4
2019-04-07,druid,4
2019-06-06,druid,6
2019-08-05,druid,4
2019-10-04,druid,1
2019-12-03,druid,4
2020-02-01,druid,1
2020-04-01,druid,7
2020-05-31,druid,2
2020-07-30,druid,0
2020-09-28,druid,3
2020-11-27,druid,0
2021-01-26,druid,4
2021-03-27,druid,3
2021-05-26,druid,2
2021-07-25,druid,2
2021-09-23,druid,0
2021-11-22,druid,3
2022-01-21,druid,0
2022-03-22,druid,0
2022-05-21,druid,3
2022-07-20,druid,3
2022-09-18,druid,2
2022-11-17,druid,5
2023-01-16,druid,0
2023-03-17,druid,1
2023-05-16,druid,3
2023-07-15,druid,2
2023-09-13,druid,2
2023-11-12,druid,2
2011-10-27,dubbo,2
2011-12-26,dubbo,4
2012-02-24,dubbo,6
2012-04-24,dubbo,6
2012-06-23,dubbo,14
2012-08-22,dubbo,6
2012-10-21,dubbo,2
2012-12-20,dubbo,0
2013-02-18,dubbo,1
2013-04-19,dubbo,0
2013-06-18,dubbo,0
2013-08-17,dubbo,0
2013-10-16,dubbo,0
2013-12-15,dubbo,0
2014-02-13,dubbo,0
2014-04-14,dubbo,0
2014-06-13,dubbo,0
2014-08-12,dubbo,0
2014-10-11,dubbo,1
2014-12-10,dubbo,0
2015-02-08,dubbo,0
2015-04-09,dubbo,0
2015-06-08,dubbo,0
2015-08-07,dubbo,0
2015-10-06,dubbo,0
2015-12-05,dubbo,0
2016-02-03,dubbo,0
2016-04-03,dubbo,0
2016-06-02,dubbo,0
2016-08-01,dubbo,0
2016-09-30,dubbo,0
2016-11-29,dubbo,0
2017-01-28,dubbo,0
2017-03-29,dubbo,0
2017-05-28,dubbo,0
2017-07-27,dubbo,2
2017-09-25,dubbo,2
2017-11-24,dubbo,2
2018-01-23,dubbo,3
2018-03-24,dubbo,0
2018-05-23,dubbo,1
2018-07-22,dubbo,2
2018-09-20,dubbo,1
2018-11-19,dubbo,0
2019-01-18,dubbo,3
2019-03-19,dubbo,0
2019-05-18,dubbo,3
2019-07-17,dubbo,0
2019-09-15,dubbo,2
2019-11-14,dubbo,1
2020-01-13,dubbo,1
2020-03-13,dubbo,1
2020-05-12,dubbo,1
2020-07-11,dubbo,2
2020-09-09,dubbo,0
2020-11-08,dubbo,0
2021-01-07,dubbo,1
2021-03-08,dubbo,2
2021-05-07,dubbo,5
2021-07-06,dubbo,3
2021-09-04,dubbo,4
2021-11-03,dubbo,3
2022-01-02,dubbo,1
2022-03-03,dubbo,1
2022-05-02,dubbo,2
2022-07-01,dubbo,5
2022-08-30,dubbo,3
2022-10-29,dubbo,8
2022-12-28,dubbo,9
2023-02-26,dubbo,7
2023-04-27,dubbo,3
2023-06-26,dubbo,3
2023-08-25,dubbo,3
2023-10-24,dubbo,3
2014-01-09,flink,1
2014-03-10,flink,0
2014-05-09,flink,4
2014-07-08,flink,1
2014-09-06,flink,1
2014-11-05,flink,0
2015-01-04,flink,2
2015-03-05,flink,0
2015-05-04,flink,1
2015-07-03,flink,1
2015-09-01,flink,0
2015-10-31,flink,2
2015-12-30,flink,1
2016-02-28,flink,3
2016-04-28,flink,1
2016-06-27,flink,2
2016-08-26,flink,2
2016-10-25,flink,1
2016-12-24,flink,1
2017-02-22,flink,2
2017-04-23,flink,2
2017-06-22,flink,4
2017-08-21,flink,0
2017-10-20,flink,4
2017-12-19,flink,2
2018-02-17,flink,5
2018-04-18,flink,6
2018-06-17,flink,12
2018-08-16,flink,6
2018-10-15,flink,9
2018-12-14,flink,8
2019-02-12,flink,8
2019-04-13,flink,0
2019-06-12,flink,3
2019-08-11,flink,6
2019-10-10,flink,4
2019-12-09,flink,4
2020-02-07,flink,2
2020-04-07,flink,7
2020-06-06,flink,6
2020-08-05,flink,5
2020-10-04,flink,4
2020-12-03,flink,8
