timestamp,project,code|design-debt,requirement-debt,documentation-debt,test-debt
1473225075,pulsar,46,91,0,2
1473664573,pulsar,0,1,0,0
1473709061,pulsar,0,1,0,0
1473962249,pulsar,0,0,0,0
1474393771,pulsar,0,0,0,0
1474397865,pulsar,0,0,0,0
1475120579,pulsar,4,0,0,0
1476211269,pulsar,1,-1,0,0
1478134148,pulsar,1,0,0,0
1478195103,pulsar,1,0,0,0
1478284765,pulsar,1,0,0,0
1485201954,pulsar,1,0,0,0
1487974783,pulsar,1,0,0,0
1487979992,pulsar,1,0,0,0
1489102606,pulsar,0,0,0,0
1489185520,pulsar,0,-1,0,0
1490911275,pulsar,18,2,0,0
1491863782,pulsar,0,0,0,0
1492018380,pulsar,1,0,0,0
1493689994,pulsar,0,0,0,2
1493750312,pulsar,0,0,0,0
1493768948,pulsar,1,0,0,0
1494628738,pulsar,1,0,0,0
1494738229,pulsar,1,0,0,0
1495817915,pulsar,0,0,0,0
1496901156,pulsar,1,0,0,0
1497295075,pulsar,0,0,0,2
1498250492,pulsar,0,0,0,0
1501271191,pulsar,1,-1,0,0
1502730233,pulsar,0,-48,0,0
1505539896,pulsar,1,0,0,0
1505849607,pulsar,0,2,0,0
1506275827,pulsar,1,0,0,0
1506694648,pulsar,0,0,0,1
1507657767,pulsar,-1,0,0,0
1509054962,pulsar,3,0,0,0
1510724867,pulsar,-2,0,0,0
1513896398,pulsar,1,0,0,0
1516829919,pulsar,2,0,0,0
1517965201,pulsar,1,0,0,0
1518057101,pulsar,0,1,0,0
1518369023,pulsar,0,-1,0,0
1518491692,pulsar,0,0,0,0
1519837215,pulsar,-4,0,0,0
1519884630,pulsar,0,-1,0,0
1519942846,pulsar,-1,0,0,0
1520024841,pulsar,0,0,0,1
1520124249,pulsar,3,0,0,0
1520124250,pulsar,6,2,0,0
1520124251,pulsar,0,1,0,1
1520124252,pulsar,4,2,0,0
1520124253,pulsar,5,4,0,0
1520124254,pulsar,0,-2,0,0
1520124773,pulsar,-1,0,0,0
1520286590,pulsar,0,0,0,0
1520304390,pulsar,-2,0,0,0
1521152298,pulsar,1,0,0,0
1522370388,pulsar,-1,0,0,0
1523038154,pulsar,-1,0,0,0
1523318886,pulsar,1,0,0,0
1523379405,pulsar,-1,0,0,0
1523416491,pulsar,0,0,0,0
1523441769,pulsar,1,0,0,0
1523648918,pulsar,0,0,0,0
1523667439,pulsar,0,1,0,0
1523859670,pulsar,2,0,0,0
1524346208,pulsar,1,-1,0,0
1524775025,pulsar,1,0,0,0
1524775050,pulsar,0,1,0,0
1524792694,pulsar,1,0,0,0
1525126910,pulsar,0,0,0,0
1525297390,pulsar,0,1,0,0
1525334095,pulsar,1,0,0,0
1525471240,pulsar,0,0,0,0
1525726835,pulsar,0,2,0,0
1525807275,pulsar,0,0,0,0
1526017591,pulsar,0,1,0,0
1526078436,pulsar,1,0,0,0
1526491151,pulsar,1,0,0,0
1526889268,pulsar,-1,0,0,0
1526889434,pulsar,1,0,0,0
1527137024,pulsar,0,-1,0,0
1527709871,pulsar,1,0,0,0
1528219535,pulsar,0,-1,0,0
1528234708,pulsar,1,0,0,0
1528919228,pulsar,1,0,0,0
1529349328,pulsar,0,2,0,0
1529544419,pulsar,0,-1,0,0
1529684686,pulsar,1,0,0,0
1530552329,pulsar,0,0,0,0
1531003799,pulsar,3,0,0,0
1531522447,pulsar,2,0,0,0
1531719402,pulsar,0,0,0,1
1532041696,pulsar,-1,0,0,0
1532064425,pulsar,0,0,0,0
1532413407,pulsar,0,0,0,0
1533245619,pulsar,1,0,0,0
1533576566,pulsar,0,1,0,0
1534225751,pulsar,0,1,0,0
1534269675,pulsar,1,0,0,0
1534482261,pulsar,0,0,0,0
1534520297,pulsar,1,0,0,0
1534832513,pulsar,2,0,0,0
1534874412,pulsar,-1,0,0,0
1535066901,pulsar,8,0,0,0
1535133521,pulsar,0,1,0,0
1535439411,pulsar,0,1,0,0
1535489585,pulsar,1,0,0,0
1535529149,pulsar,-1,0,0,0
1535694261,pulsar,0,0,0,0
1536092442,pulsar,2,0,0,0
1536257193,pulsar,0,3,0,0
1536813159,pulsar,-1,0,0,0
1536863377,pulsar,0,-1,0,0
1537309332,pulsar,1,0,0,0
1538419733,pulsar,1,1,0,0
1538612597,pulsar,1,0,0,0
1539369583,pulsar,2,0,0,0
1539801693,pulsar,-1,0,0,0
1539925167,pulsar,0,1,0,0
1540231960,pulsar,-1,0,0,0
1541034175,pulsar,0,0,0,0
1541401936,pulsar,1,0,0,0
1541872024,pulsar,2,0,0,0
1542432522,pulsar,1,0,0,0
1542827289,pulsar,1,0,0,0
1542888324,pulsar,-1,0,0,0
1543174920,pulsar,1,0,0,0
1543358941,pulsar,0,0,0,0
1543608550,pulsar,0,2,0,0
1543809986,pulsar,0,0,0,0
1543882909,pulsar,0,0,1,0
1544468952,pulsar,1,0,0,0
1544675845,pulsar,0,0,0,0
1544826795,pulsar,0,0,0,0
1544924255,pulsar,0,1,0,0
1545301349,pulsar,-2,0,0,0
1547047817,pulsar,0,0,0,0
1547231376,pulsar,1,0,0,0
1547488463,pulsar,1,0,0,0
1549559295,pulsar,0,0,0,0
1549805629,pulsar,-1,0,0,0
1550015816,pulsar,0,0,0,0
1551182602,pulsar,0,0,2,0
1551691042,pulsar,1,0,0,0
1552023770,pulsar,1,0,0,0
1552043216,pulsar,1,0,0,0
1553008936,pulsar,5,2,0,0
1553487594,pulsar,0,-1,0,0
1553833357,pulsar,4,0,0,0
1553883071,pulsar,0,0,2,0
1553886017,pulsar,4,0,0,0
1554137556,pulsar,0,0,0,0
1554407302,pulsar,0,-2,0,0
1554706496,pulsar,0,0,0,0
1554775786,pulsar,1,0,0,0
1554821798,pulsar,0,-1,0,0
1555372869,pulsar,-1,0,0,0
1555919839,pulsar,1,1,0,0
1556198920,pulsar,-5,-1,0,0
1557105198,pulsar,1,0,0,0
1558680889,pulsar,0,0,0,0
1558739163,pulsar,1,0,0,0
1558873084,pulsar,-2,0,0,0
1558932496,pulsar,2,1,0,0
1559152478,pulsar,1,0,0,0
1559715743,pulsar,1,1,0,0
1559811936,pulsar,1,1,0,0
1561008640,pulsar,-1,0,0,0
1562189483,pulsar,-1,0,0,0
1562739427,pulsar,0,-10,0,0
1562993924,pulsar,1,0,0,0
1563860448,pulsar,0,-3,0,0
1563933098,pulsar,0,0,0,1
1564367072,pulsar,1,0,0,0
1565791460,pulsar,1,0,0,0
1566113977,pulsar,0,1,0,0
1566147647,pulsar,3,5,0,0
1566909728,pulsar,-1,0,0,0
1566921116,pulsar,0,-10,0,0
1566962024,pulsar,1,0,0,0
1566977273,pulsar,1,0,0,0
1566979345,pulsar,0,0,0,1
1567174221,pulsar,2,0,0,0
1568895952,pulsar,1,0,0,0
1569641590,pulsar,0,1,0,0
1570607372,pulsar,1,0,0,0
1571987131,pulsar,1,1,0,0
1572346355,pulsar,0,-1,0,0
1572923227,pulsar,-1,0,0,0
1573193735,pulsar,0,-2,0,0
1574133073,pulsar,2,0,0,0
1574150028,pulsar,0,-3,0,0
1574214189,pulsar,0,1,0,0
1581031656,pulsar,0,0,0,1
1581298679,pulsar,0,1,0,0
1581338803,pulsar,2,0,0,0
1583633897,pulsar,-2,0,0,0
1583950703,pulsar,1,0,0,0
1584766931,pulsar,2,0,0,0
1584766996,pulsar,0,1,0,0
1584940440,pulsar,2,0,0,0
1585391697,pulsar,0,0,0,0
1586074530,pulsar,0,0,0,0
1586115162,pulsar,1,0,0,0
1586747339,pulsar,2,0,0,0
1586747439,pulsar,0,1,0,0
1586748840,pulsar,0,0,0,0
1589835111,pulsar,1,0,0,0
1589835231,pulsar,-1,0,0,0
1590687271,pulsar,0,0,0,0
1590816269,pulsar,0,0,0,0
1591059677,pulsar,6,0,0,0
1591083595,pulsar,0,1,0,0
1591240655,pulsar,-1,-1,0,0
1591315852,pulsar,3,0,0,0
1591404659,pulsar,-2,1,0,0
1591593185,pulsar,0,0,0,0
1591614911,pulsar,2,0,0,0
1594675913,pulsar,0,1,0,0
1595867799,pulsar,1,1,0,0
1596563566,pulsar,0,0,0,0
1596618472,pulsar,0,0,0,2
1596623561,pulsar,0,0,0,2
1597055847,pulsar,0,5,0,0
1598841280,pulsar,0,-3,0,0
1599057151,pulsar,0,-1,0,0
1599057389,pulsar,3,0,0,0
1600316538,pulsar,0,0,0,4
1601340617,pulsar,1,0,0,0
1601475349,pulsar,-1,0,0,0
1603072584,pulsar,0,5,0,0
1603769671,pulsar,1,0,0,0
1603813645,pulsar,3,0,0,0
1603855878,pulsar,0,0,0,0
1603875318,pulsar,1,0,0,0
1603878422,pulsar,1,0,0,0
1603960117,pulsar,0,5,0,0
1603963817,pulsar,1,0,0,0
1603963833,pulsar,-1,0,0,0
1604020882,pulsar,-1,-1,0,-1
1604881714,pulsar,-1,0,0,-1
1605046494,pulsar,1,0,0,0
1605076626,pulsar,0,0,0,-1
1605230968,pulsar,-2,-1,0,-2
1605240110,pulsar,1,0,0,0
1605302658,pulsar,0,0,0,0
1605584576,pulsar,1,0,0,0
1605706535,pulsar,1,0,0,0
1605921738,pulsar,0,-1,0,0
1605928351,pulsar,0,-1,0,0
1606266703,pulsar,1,0,0,0
1606959520,pulsar,1,1,0,0
1607067648,pulsar,-1,0,0,0
1607307924,pulsar,1,0,0,0
1607309942,pulsar,1,0,0,0
1607309961,pulsar,-1,0,0,0
1607606217,pulsar,1,0,0,0
1607920017,pulsar,-1,-1,0,0
1608106070,pulsar,1,0,0,0
1608330050,pulsar,-1,0,0,0
1608553693,pulsar,-1,0,0,0
1609323861,pulsar,1,0,0,0
1609893751,pulsar,-3,0,0,0
1609986201,pulsar,1,0,0,0
1610041488,pulsar,0,0,0,2
1611192170,pulsar,0,-1,0,0
1611628157,pulsar,2,1,0,0
1611645340,pulsar,1,0,0,0
1611660200,pulsar,1,0,0,0
1611704334,pulsar,1,-1,0,0
1611801445,pulsar,0,0,0,2
1611828091,pulsar,0,0,0,-1
1611865210,pulsar,0,0,0,1
1611996532,pulsar,0,0,0,-1
1612191341,pulsar,1,2,0,0
1612226221,pulsar,1,0,0,0
1612807726,pulsar,1,0,0,0
1613164109,pulsar,1,0,0,2
1613627512,pulsar,-1,0,0,0
1613659933,pulsar,1,0,0,2
1614656520,pulsar,0,0,0,2
1615359228,pulsar,3,0,0,0
1617642081,pulsar,0,0,0,0
1617779929,pulsar,0,0,0,0
1617998236,pulsar,1,0,0,0
1618318718,pulsar,3,0,0,0
1618533532,pulsar,11,5,0,0
1618768920,pulsar,2,0,0,0
1618961188,pulsar,1,0,0,0
1619016098,pulsar,1,0,0,0
1619816028,pulsar,-2,0,0,0
1620704713,pulsar,0,0,0,0
1620792176,pulsar,4,0,0,0
1620879698,pulsar,0,1,0,0
1620931922,pulsar,1,0,0,0
1621329904,pulsar,1,11,0,0
1622658609,pulsar,1,0,0,0
1622668624,pulsar,1,0,0,0
1623186587,pulsar,1,0,0,0
1623369410,pulsar,1,0,0,0
1623707459,pulsar,1,0,0,0
1623707700,pulsar,1,0,0,0
1623708172,pulsar,1,0,0,0
1623996454,pulsar,1,0,0,0
1624401058,pulsar,-1,0,0,0
1624593868,pulsar,1,0,0,0
1624649192,pulsar,2,0,0,0
1624793430,pulsar,1,0,0,0
1624898632,pulsar,0,-2,0,0
1625252029,pulsar,-1,0,0,0
1625623588,pulsar,2,0,0,0
1625784055,pulsar,0,0,1,0
1626099994,pulsar,1,0,0,0
1626227198,pulsar,1,0,0,0
1626349494,pulsar,1,0,0,0
1626370841,pulsar,0,2,0,0
1626663266,pulsar,1,0,0,0
1626932890,pulsar,2,0,0,0
1627005478,pulsar,1,0,0,0
1627316384,pulsar,0,0,1,0
1628061108,pulsar,1,0,0,0
1628897085,pulsar,0,1,0,0
1629195083,pulsar,0,0,0,1
1629506024,pulsar,-1,-1,0,0
1629532217,pulsar,1,0,0,0
1629545558,pulsar,1,0,0,0
1629879733,pulsar,1,0,0,0
1631170929,pulsar,1,0,0,0
1631170939,pulsar,1,0,0,0
1631548218,pulsar,0,0,0,2
1631806056,pulsar,-1,0,0,0
1632424218,pulsar,1,0,0,0
1632429168,pulsar,1,0,0,0
1632923763,pulsar,0,1,0,0
1633015310,pulsar,1,0,0,0
1633509568,pulsar,1,0,0,0
1635050515,pulsar,0,0,0,0
1638369556,pulsar,3,0,0,0
1638393453,pulsar,0,0,0,0
1638644792,pulsar,-1,0,0,0
1639247963,pulsar,-1,0,0,0
1639464547,pulsar,1,0,0,0
1639999003,pulsar,0,0,0,0
1641306875,pulsar,0,0,0,0
1641473618,pulsar,0,0,0,0
1641829458,pulsar,0,0,0,0
1642479007,pulsar,0,0,0,1
1642491655,pulsar,0,0,0,1
1642499700,pulsar,0,0,0,1
1643363998,pulsar,1,0,0,0
1643400081,pulsar,1,0,0,0
1643535753,pulsar,1,0,0,0
1644461780,pulsar,0,1,0,0
1644465671,pulsar,0,1,0,0
1644848412,pulsar,1,1,0,0
1646144275,pulsar,0,0,0,1
1647271427,pulsar,1,0,0,0
1647315668,pulsar,3,0,0,0
1647428300,pulsar,1,0,0,0
1648536185,pulsar,0,2,0,0
1648803217,pulsar,1,0,0,0
1650545266,pulsar,1,0,0,0
1650565365,pulsar,1,0,0,0
1650785404,pulsar,0,0,0,0
1651149633,pulsar,1,0,0,0
1651149641,pulsar,3,0,0,0
1651153468,pulsar,1,0,0,0
1651153479,pulsar,3,0,0,0
1651212110,pulsar,1,0,0,0
1651212127,pulsar,3,0,0,0
1651847383,pulsar,1,0,0,0
1652210438,pulsar,2,0,0,0
1652361007,pulsar,1,0,0,0
1652444322,pulsar,1,0,0,0
1652709905,pulsar,1,0,0,0
1653384109,pulsar,1,0,0,0
1654558754,pulsar,0,0,0,0
1654758603,pulsar,1,0,0,0
1655358024,pulsar,-1,0,0,0
1655880317,pulsar,0,0,0,1
1655912089,pulsar,1,0,0,0
1656397993,pulsar,1,0,0,0
1656427370,pulsar,1,0,0,0
1656709646,pulsar,1,0,0,0
1656731377,pulsar,1,0,0,0
1656987854,pulsar,0,0,0,1
1657589624,pulsar,1,0,0,0
1657679304,pulsar,1,0,0,0
1657693999,pulsar,-1,0,0,0
1657800431,pulsar,0,0,0,0
1657901483,pulsar,-1,0,0,0
1657901658,pulsar,-1,0,0,0
1658195636,pulsar,1,0,0,0
1658335721,pulsar,1,0,0,0
1658483017,pulsar,2,2,0,1
1658797825,pulsar,0,1,0,0
1658894486,pulsar,1,0,0,0
1658895697,pulsar,1,0,0,0
1659001010,pulsar,2,0,0,0
1659067608,pulsar,1,0,0,0
1659083096,pulsar,-1,0,0,0
1659499724,pulsar,0,1,0,0
1659944399,pulsar,-1,0,0,0
1659962092,pulsar,0,-1,0,0
1660147614,pulsar,0,0,0,-1
1660181938,pulsar,0,0,0,-1
1660876632,pulsar,1,0,0,0
1660876729,pulsar,1,0,0,0
1661173312,pulsar,0,0,0,0
1662124174,pulsar,1,0,0,0
1662815421,pulsar,1,0,0,0
1662946518,pulsar,1,0,0,0
1662946543,pulsar,1,0,0,0
1662946561,pulsar,1,0,0,0
1663135606,pulsar,0,0,0,0
1663815420,pulsar,0,2,0,0
1664442391,pulsar,-1,0,0,0
1664469948,pulsar,1,0,0,0
1664779329,pulsar,1,1,0,0
1665558699,pulsar,1,0,0,0
1665558864,pulsar,1,0,0,0
1665564310,pulsar,1,0,0,0
1665575832,pulsar,1,0,0,0
1665627891,pulsar,1,0,0,0
1665629711,pulsar,1,0,0,0
1666377284,pulsar,-1,0,0,0
1666614276,pulsar,0,0,0,1
1666833074,pulsar,0,0,0,1
1666833095,pulsar,0,0,0,1
1666837279,pulsar,0,0,0,1
1666987244,pulsar,1,0,0,0
1667237637,pulsar,1,0,0,0
1667613019,pulsar,5,2,0,0
1668137842,pulsar,0,1,0,0
1668425555,pulsar,1,0,0,0
1668426152,pulsar,-1,0,0,0
1668426526,pulsar,1,0,0,0
1668670012,pulsar,1,0,0,0
1668671388,pulsar,0,0,0,0
1669695451,pulsar,0,1,0,0
1669799346,pulsar,1,0,0,0
1669813726,pulsar,1,0,0,0
1669958426,pulsar,10,7,0,0
1669967061,pulsar,3,1,0,0
1670379329,pulsar,0,1,0,0
1670396007,pulsar,1,0,0,0
1670403344,pulsar,0,0,0,0
1670550766,pulsar,0,1,0,0
1670594235,pulsar,-1,0,0,0
1670689171,pulsar,2,0,0,0
1670721377,pulsar,2,1,0,0
1670737864,pulsar,-2,-1,0,0
1670916363,pulsar,1,0,0,0
1671240156,pulsar,2,0,0,0
1671416403,pulsar,2,0,0,0
1671416445,pulsar,2,0,0,0
1671422570,pulsar,2,0,0,0
1671560318,pulsar,0,0,1,0
1671588078,pulsar,0,0,0,0
1672300999,pulsar,2,0,0,0
1673622675,pulsar,4,0,0,0
1673863386,pulsar,1,0,0,0
1673921933,pulsar,-1,0,0,0
1674122891,pulsar,1,0,0,0
1674617691,pulsar,1,0,0,0
1674658250,pulsar,0,0,0,1
1675104699,pulsar,0,0,0,0
1675154231,pulsar,1,-2,0,0
1675246918,pulsar,2,0,0,1
1675361092,pulsar,1,0,0,0
1675407906,pulsar,3,4,0,7
1675500042,pulsar,-1,0,0,0
1676115430,pulsar,0,-1,0,0
1676265999,pulsar,1,0,0,0
1676287836,pulsar,-1,0,0,0
1676495304,pulsar,1,0,0,0
1676497417,pulsar,-1,0,0,0
1676609753,pulsar,1,0,0,0
1676609754,pulsar,-1,0,0,0
1676617406,pulsar,1,0,0,0
1676617596,pulsar,-1,0,0,0
1677103896,pulsar,1,0,0,0
1677103898,pulsar,-1,0,0,0
1677165780,pulsar,-2,0,0,0
1677721702,pulsar,0,0,0,0
1677738588,pulsar,1,0,0,0
1678546769,pulsar,0,-1,0,0
1678757947,pulsar,0,0,0,0
1679325907,pulsar,-1,0,0,0
1679382762,pulsar,-1,0,0,0
1680072845,pulsar,1,0,0,0
1680114838,pulsar,1,0,0,0
1680165133,pulsar,-1,0,0,0
1680514910,pulsar,0,0,0,1
1680594754,pulsar,0,2,0,0
1680696032,pulsar,0,-1,0,0
1680950956,pulsar,0,-1,0,0
1681166681,pulsar,3,0,0,0
1681632344,pulsar,0,-1,0,0
1681698698,pulsar,0,-1,0,0
1681984167,pulsar,0,0,0,0
1681984248,pulsar,0,0,0,0
1683635466,pulsar,1,0,0,0
1683724537,pulsar,1,0,0,0
1684201295,pulsar,2,0,0,0
1684340912,pulsar,1,0,0,0
1684396538,pulsar,2,0,0,0
1684476662,pulsar,1,0,0,0
1684525104,pulsar,-2,0,0,0
1684527673,pulsar,-2,0,0,0
1684894486,pulsar,-2,0,0,0
1685380925,pulsar,1,0,0,0
1685446267,pulsar,1,0,0,0
1685448584,pulsar,-2,0,0,0
1685749494,pulsar,0,0,0,1
1685983027,pulsar,0,0,0,1
1686302546,pulsar,0,0,0,1
1686801644,pulsar,0,0,0,1
1687266323,pulsar,0,0,0,1
1688012751,pulsar,0,-1,0,0
1688114147,pulsar,0,0,0,0
1688385549,pulsar,0,1,0,-1
1688385907,pulsar,0,0,0,1
1688385928,pulsar,0,1,0,-1
1688460353,pulsar,0,0,0,1
1689559970,pulsar,0,1,0,0
1690072601,pulsar,1,0,0,0
1690289522,pulsar,6,0,0,0
1690295639,pulsar,0,0,0,0
1690337954,pulsar,8,0,0,0
1690339241,pulsar,0,0,0,0
1690512214,pulsar,0,1,0,0
1690512432,pulsar,0,1,0,0
1690512585,pulsar,0,1,0,0
1690512697,pulsar,0,1,0,0
1690782674,pulsar,0,0,0,0
1690849289,pulsar,8,0,0,0
1691476909,pulsar,0,0,0,0
1692260415,pulsar,6,0,0,0
1692596679,pulsar,0,0,0,1
1692608950,pulsar,0,0,0,1
1692608984,pulsar,0,0,0,1
1694437565,pulsar,0,0,0,1
1694519798,pulsar,0,0,0,1
1694657380,pulsar,0,0,0,1
1694657603,pulsar,0,0,0,1
1694958245,pulsar,1,0,0,0
1695014880,pulsar,1,0,0,0
1695646814,pulsar,1,0,0,0
1695910465,pulsar,1,0,0,0
1696692746,pulsar,1,0,0,0
1696752693,pulsar,1,0,0,0
1696753411,pulsar,1,0,0,0
1696774752,pulsar,1,0,0,0
1696818708,pulsar,1,0,0,0
