project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
druid,0.5518879958653897,7.827969586504718e-239,0.7326588198306271,5.89684535044105e-305,test-debt,open_prs_exact
druid,0.8456608825377306,0.0,0.9601855846007126,0.0,requirement-debt,open_prs_exact
druid,0.6930264950091146,0.0,0.8435642239088652,0.0,documentation-debt,open_prs_exact
druid,0.8465109507380085,0.0,0.9612954104623302,0.0,code|design-debt,open_prs_exact
dubbo,0.29192266926628735,5.154735613958473e-25,0.39137328989738335,5.980053272661389e-26,test-debt,open_prs_exact
dubbo,0.21240517761625474,5.993482430629448e-16,0.35217182631567967,5.37530928974322e-21,requirement-debt,open_prs_exact
dubbo,-0.027557721490668655,0.3793267989562754,-0.041708959727479324,0.28100569475450277,documentation-debt,open_prs_exact
dubbo,0.31791803068188884,2.5826520469239584e-34,0.41397282067080776,3.991936845271982e-29,code|design-debt,open_prs_exact
flink,0.7888324599032172,0.0,0.9387386071710742,0.0,test-debt,open_prs_exact
flink,0.8312092113861238,0.0,0.9555812122238496,0.0,requirement-debt,open_prs_exact
flink,0.7052562971449254,0.0,0.8704359233676955,0.0,documentation-debt,open_prs_exact
flink,0.8241860451472511,0.0,0.9509579323015115,0.0,code|design-debt,open_prs_exact
hadoop,0.9535422117758766,0.0,0.9943616557301117,0.0,test-debt,open_prs_exact
hadoop,0.9607023185383878,0.0,0.9966821447961619,0.0,requirement-debt,open_prs_exact
hadoop,0.8977671678080492,0.0,0.9774574701561289,0.0,documentation-debt,open_prs_exact
hadoop,0.9764536055269963,0.0,0.9985234949552884,0.0,code|design-debt,open_prs_exact
maven,-0.32686099927728923,2.9774789042350627e-08,-0.37270333470471423,2.572287180406612e-07,test-debt,open_prs_exact
maven,0.531844678691,4.140975891559412e-24,0.7589036824484698,5.441003909580218e-35,requirement-debt,open_prs_exact
maven,0.2001801222128027,0.0009330629136877676,0.2532127336109761,0.0006044657352816506,documentation-debt,open_prs_exact
maven,0.8024066029706634,1.596117002211432e-55,0.9430235303040835,5.404404083189701e-87,code|design-debt,open_prs_exact
pulsar,0.7406380238488119,1.795623982047884e-148,0.8694682318343789,1.455880790235485e-178,test-debt,open_prs_exact
pulsar,0.45073410083851845,3.343515169677446e-57,0.6217455294589108,4.0139847416127434e-63,requirement-debt,open_prs_exact
pulsar,0.6714092860010608,3.887062576384557e-105,0.8427311570917866,4.80496591779474e-157,documentation-debt,open_prs_exact
pulsar,0.7410267424697725,6.064500925555557e-155,0.8704599645101159,1.8838704314901386e-179,code|design-debt,open_prs_exact
