project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
druid,-0.4636053168238485,3.153432011888485e-161,-0.693861581081147,1.5098871268526857e-260,test-debt,releases_per_60days
druid,-0.6600191421044975,0.0,-0.8539587466436275,0.0,requirement-debt,releases_per_60days
druid,-0.5862306796145779,7.634919068514349e-230,-0.7614895564287726,0.0,documentation-debt,releases_per_60days
druid,-0.6485328386541016,0.0,-0.852322394781722,0.0,code|design-debt,releases_per_60days
dubbo,0.3204902163145225,6.785806308515289e-26,0.3895430924384854,1.0551431462251927e-25,test-debt,releases_per_60days
dubbo,0.39632512515196466,1.4328213826175544e-44,0.5188272377427071,1.9273818906996372e-47,requirement-debt,releases_per_60days
dubbo,0.04174466637751832,0.21662209208622019,0.04954925543569547,0.20021379899320005,documentation-debt,releases_per_60days
dubbo,0.319967943706331,3.8260557898349806e-30,0.42195049437266696,2.6358552313128683e-30,code|design-debt,releases_per_60days
flink,0.3160629747301941,3.822499120285478e-122,0.45023437058682747,1.6413127944874052e-138,test-debt,releases_per_60days
flink,0.33476863560971026,8.120147918957538e-139,0.45739501409974404,1.919990915550623e-143,requirement-debt,releases_per_60days
flink,0.36493697446100176,3.265711523620275e-157,0.49997736458364794,2.492892039756152e-175,documentation-debt,releases_per_60days
flink,0.3432085944609421,7.359708218441066e-147,0.4720711937703227,6.303239363425386e-154,code|design-debt,releases_per_60days
hadoop,-0.11516193353357962,2.721387907756173e-20,-0.14486643045844616,1.4962296295561524e-17,test-debt,releases_per_60days
hadoop,-0.11138428364382245,2.611191880912463e-19,-0.15099477534991707,5.986551279480334e-19,requirement-debt,releases_per_60days
hadoop,-0.13121437320553123,7.18481135805984e-25,-0.16765398962066694,4.7513789983149715e-23,documentation-debt,releases_per_60days
hadoop,-0.09950628605782035,8.845040367049232e-16,-0.13286314036826843,5.528972068861301e-15,code|design-debt,releases_per_60days
maven,0.11372584762520596,0.08130947736485744,0.13509272798433736,0.07058626560240676,test-debt,releases_per_60days
maven,0.5205511771951514,3.125931987394256e-19,0.6593150695235391,8.072759662566795e-24,requirement-debt,releases_per_60days
maven,0.00023972305737619612,0.9971415778304166,-0.008390497138805752,0.910991462690284,documentation-debt,releases_per_60days
maven,0.46102549249677705,3.459078079907931e-16,0.5689877707755011,7.867352652624046e-17,code|design-debt,releases_per_60days
pulsar,0.2751124009214636,6.837219080936712e-20,0.37095526468325757,2.695365290587533e-20,test-debt,releases_per_60days
pulsar,0.270122319782233,1.4534355055104555e-19,0.38618153092196106,5.3735319804354835e-22,requirement-debt,releases_per_60days
pulsar,0.29548099374062364,1.1177337464913765e-19,0.3666122345574249,7.931119478634278e-20,documentation-debt,releases_per_60days
pulsar,0.27080222278213384,4.354470888351383e-20,0.3743357410223702,1.1503508143202229e-20,code|design-debt,releases_per_60days
