project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
druid,-0.37506291933198865,2.880472769701935e-113,-0.54358703798371,5.545675616299708e-142,test-debt,commits_per_14days
druid,-0.2910261877502554,3.0609140313655574e-75,-0.47277336929180974,4.2335659722412426e-103,requirement-debt,commits_per_14days
druid,-0.420950915114472,3.845128353542582e-127,-0.5824144915498297,1.3943394432035768e-167,documentation-debt,commits_per_14days
dubbo,-0.22935645371630542,9.584698022781903e-19,-0.3192944801174203,9.864104197625333e-20,test-debt,commits_per_14days
dubbo,-0.252242543097687,7.694476099342647e-25,-0.3615122866425313,3.232125581375697e-25,requirement-debt,commits_per_14days
dubbo,0.04078700991181766,0.16513798494166487,0.05100227540198128,0.1571278652794005,documentation-debt,commits_per_14days
flink,0.3825030514090093,1.0927674547392465e-276,0.5788137974616451,0.0,test-debt,commits_per_14days
flink,0.39604880777209917,1.3446989328990138e-299,0.5864648950454748,0.0,requirement-debt,commits_per_14days
flink,0.437266907507161,0.0,0.6367950531468644,0.0,documentation-debt,commits_per_14days
hadoop,0.12807492901634704,9.775949180735233e-56,0.1759595014911966,1.8619582551613607e-48,test-debt,commits_per_14days
hadoop,0.07927256428001901,1.5811582465646559e-22,0.11941587456170501,4.825762648787799e-23,requirement-debt,commits_per_14days
hadoop,-0.1065910838602477,4.779375040433029e-38,-0.16570331623747275,4.254650876998179e-43,documentation-debt,commits_per_14days
maven,0.2723419977581443,3.7025012019880867e-50,0.3787523270125329,3.582261908266869e-53,test-debt,commits_per_14days
maven,0.13315949078884068,1.5435830316988323e-14,0.18816447696981775,1.3029598449308404e-13,requirement-debt,commits_per_14days
maven,0.49946434308472965,1.3348489339645612e-157,0.6411332816899983,3.403535387489143e-177,documentation-debt,commits_per_14days
pulsar,0.28901718988588454,5.896319075053313e-24,0.3886006467647013,2.6053463081703855e-22,test-debt,commits_per_14days
pulsar,0.11834735088152087,3.024934394643674e-05,0.13776564098003258,0.0008884076517093892,requirement-debt,commits_per_14days
pulsar,0.2746903298595733,6.691127771344293e-19,0.36404334570049346,1.386749537223689e-19,documentation-debt,commits_per_14days
